naamNautischObject;typeNautischObject;bedientijdAanvang;bedientijdEinde;brugHoogte;maxSchutBreedte;maxSchutLengte;diepgang;gpsXcoordinaat;gpsYcoordinaat;marifoonkanaal;geplandOnderhoudAanvang;geplandOnderhoudEinde
#string;BrugSluis;google.protobuf.Timestamp;google.protobuf.Timestamp;uint32;uint32;uint32;uint32;double;double;uint32;google.protobuf.Timestamp;google.protobuf.Timestamp
Arie de Witbrug ;Brug;2018-12-1 6:00;2018-12-1 22:00;240;680;0;240;@52.6576179;@5.6117165;0;1970-1-1 0:00;1970-1-1 0:00
Blauwe Dromer ;Sluis;2018-12-1 6:00;2018-12-1 22:00;510;480;2000;140;@52.3706426;@5.6123152;0;1970-1-1 0:00;1970-1-1 0:00
Elburgerbrug ;Brug;2018-12-1 6:00;2018-12-1 22:00;550;1100;0;250;@52.4574302;@5.8147356;0;1970-1-1 0:00;1970-1-1 0:00
Friese Sluis ;Sluis;2018-12-1 6:00;2018-12-1 22:00;620;680;3900;240;@52.8377834;@5.7114207;0;1970-1-1 0:00;1970-1-1 0:00
Kampersluis ;Sluis;2018-12-1 6:00;2018-12-1 22:00;260;730;6200;240;@52.5731223;@5.7507296;0;1970-1-1 0:00;1970-1-1 0:00
Ketelsluis ;Sluis;2018-12-1 6:00;2018-12-1 22:00;560;640;4300;240;@52.5788427;@5.7557869;0;1970-1-1 0:00;1970-1-1 0:00
Larsersluis ;Sluis;2018-12-1 6:00;2018-12-1 22:00;300;480;2000;140;@52.4147026;@5.5857076;0;1970-1-1 0:00;1970-1-1 0:00
Marknessersluis ;Sluis;2018-12-1 6:00;2018-12-1 22:00;240;680;3900;240;@52.6042263;@5.6828103;0;1970-1-1 0:00;1970-1-1 0:00
Noordersluis ;Sluis;2018-12-1 6:00;2018-12-1 22:00;640;820;6300;240;@52.503351;@5.4186215;0;1970-1-1 0:00;1970-1-1 0:00
Tollebekerbrug ;Brug;2018-12-1 6:00;2018-12-1 22:00;240;730;0;240;@52.6778397;@5.681078;0;1970-1-1 0:00;1970-1-1 0:00
Urkersluis ;Sluis;2018-12-1 6:00;2018-12-1 22:00;620;680;3900;240;@52.657875;@5.6012378;0;1970-1-1 0:00;1970-1-1 0:00
Vaartsluis ;Sluis;2018-12-1 6:00;2018-12-1 22:00;0;820;6500;250;@52.4068223;@5.2303149;0;1970-1-1 0:00;1970-1-1 0:00
Vollenhoverbrug ;Brug;2018-12-1 6:00;2018-12-1 22:00;280;1100;0;250;@52.6842337;@5.9442891;0;1970-1-1 0:00;1970-1-1 0:00
Voorstersluis ;Sluis;2018-12-1 6:00;2018-12-1 22:00;530;680;3900;240;@52.6686914;@5.9281361;0;1970-1-1 0:00;1970-1-1 0:00
Zuidersluis ;Sluis;2018-12-1 6:00;2018-12-1 22:00;640;820;6300;250;@52.417046;@5.2207483;0;1970-1-1 0:00;1970-1-1 0:00
Zwolsebrug ;Brug;2018-12-1 6:00;2018-12-1 22:00;240;680;0;240;@52.6575605;@5.6299694;0;1970-1-1 0:00;1970-1-1 0:00
